"response","group","predictor1","predictor2"
21,6,2.62,110
21,6,2.875,110
22.8,4,2.32,93
21.4,6,3.215,110
18.7,8,3.44,175
18.1,6,3.46,105
14.3,8,3.57,245
24.4,4,3.19,62
22.8,4,3.15,95
19.2,6,3.44,123
17.8,6,3.44,123
16.4,8,4.07,180
17.3,8,3.73,180
15.2,8,3.78,180
10.4,8,5.25,205
10.4,8,5.424,215
14.7,8,5.345,230
32.4,4,2.2,66
30.4,4,1.615,52
33.9,4,1.835,65
21.5,4,2.465,97
15.5,8,3.52,150
15.2,8,3.435,150
13.3,8,3.84,245
19.2,8,3.845,175
27.3,4,1.935,66
26,4,2.14,91
30.4,4,1.513,113
15.8,8,3.17,264
19.7,6,2.77,175
15,8,3.57,335
21.4,4,2.78,109
